timestamp,region,time_ms,mem_before_mb,mem_after_mb,mem_delta_mb,peak_mb
2026-02-10T09:52:29.188709,hess_contract_Node1,0.59,168.29,194.48,26.19,214.48
2026-02-10T09:52:29.190560,env_Node1,1.14,174.47,182.88,8.41,187.63
2026-02-10T09:52:29.191380,forward_Node1,0.36,182.88,182.88,0.0,182.88
2026-02-10T09:52:29.192489,loss_derivs_Node1,0.68,182.88,182.89,0.01,182.9
2026-02-10T09:52:29.193291,grad_contract_Node1,0.37,182.89,187.29,4.4,187.3
2026-02-10T09:52:29.193832,hess_tn_build_Node1,0.09,187.29,187.29,0.0,187.29
2026-02-10T09:52:29.195574,hess_contract_Node1,0.82,187.29,211.67,24.39,231.67
2026-02-10T09:52:29.196138,compute_H_b_Node1,46.87,11.65,171.65,160.0,231.67
2026-02-10T09:52:29.196716,fuse_Node1,0.12,171.65,171.65,0.0,171.65
2026-02-10T09:52:29.197226,to_dense_Node1,0.11,171.65,171.65,0.0,171.65
2026-02-10T09:52:29.199904,solve_Node1,1.78,171.66,191.69,20.02,211.69
2026-02-10T09:52:29.201962,env_Node2,1.09,191.67,198.85,7.18,205.04
2026-02-10T09:52:29.203055,forward_Node2,0.29,198.85,198.85,0.0,205.04
2026-02-10T09:52:29.204176,loss_derivs_Node2,0.68,198.85,198.86,0.01,198.87
2026-02-10T09:52:29.204863,grad_contract_Node2,0.27,198.86,205.06,6.2,205.07
2026-02-10T09:52:29.205392,hess_tn_build_Node2,0.08,205.06,205.06,0.0,205.06
2026-02-10T09:52:29.206541,hess_contract_Node2,0.72,205.06,237.44,32.38,257.44
2026-02-10T09:52:29.207853,env_Node2,0.73,231.25,238.42,7.18,244.61
2026-02-10T09:52:29.208604,forward_Node2,0.29,238.42,238.43,0.0,244.62
2026-02-10T09:52:29.210055,loss_derivs_Node2,0.66,238.43,238.44,0.01,238.45
2026-02-10T09:52:29.210767,grad_contract_Node2,0.28,238.44,244.64,6.2,244.65
2026-02-10T09:52:29.211304,hess_tn_build_Node2,0.09,244.64,244.64,0.0,244.64
2026-02-10T09:52:29.212494,hess_contract_Node2,0.76,244.64,277.01,32.38,297.01
2026-02-10T09:52:29.214370,env_Node2,0.58,270.82,278.0,7.18,284.19
2026-02-10T09:52:29.215111,forward_Node2,0.28,278.0,278.0,0.0,284.19
2026-02-10T09:52:29.216236,loss_derivs_Node2,0.69,278.0,278.01,0.01,278.02
2026-02-10T09:52:29.217293,grad_contract_Node2,0.27,278.01,284.21,6.2,284.22
2026-02-10T09:52:29.217836,hess_tn_build_Node2,0.09,284.21,284.21,0.0,284.21
2026-02-10T09:52:29.218946,hess_contract_Node2,0.67,284.21,316.59,32.38,336.59
