Task 4: Model=lmpo2_typei, Dataset=seoulBike
[2026-05-04 19:35:49,082][HYDRA] 	#6 : model.reduction_factor=0.3 model.L=4 model.bond_dim=8 seed=10090 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:49,252][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.3 seed=10090 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed10090_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5111488355218505) val=0.5111
[2026-05-04 19:35:49,254][HYDRA] 	#7 : model.reduction_factor=0.3 model.L=4 model.bond_dim=8 seed=32874 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:49,424][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.3 seed=32874 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed32874_rf0.3_bondmpo1 | already completed successfully (val_quality=0.6531022207635286) val=0.6531
[2026-05-04 19:35:49,426][HYDRA] 	#8 : model.reduction_factor=0.3 model.L=4 model.bond_dim=8 seed=47311 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:49,595][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.3 seed=47311 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed47311_rf0.3_bondmpo1 | already completed successfully (val_quality=0.5802420853685311) val=0.5802
[2026-05-04 19:35:49,598][HYDRA] 	#9 : model.reduction_factor=0.3 model.L=4 model.bond_dim=8 seed=47303 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:49,767][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=8_rf0.3 seed=47303 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd8_seed47303_rf0.3_bondmpo1 | already completed successfully (val_quality=0.6524143011912011) val=0.6524
[2026-05-04 19:35:49,770][HYDRA] 	#10 : model.reduction_factor=0.3 model.L=4 model.bond_dim=4 seed=42 trainer.ridge=5 trainer.ridge_decay=0.25 trainer.ridge_min=0.0001 +experiment=uci_ntn_sweep model=lmpo2_typei dataset=seoulBike
[2026-05-04 19:35:49,958][__main__][INFO] - ⏭ SKIP LMPO2TypeI/seoulBike/NTN L=4 bd=4_rf0.3 seed=42 -> /zhome/6b/e/212868/GTN/outputs/ntn/seoulBike/LMPO2TypeI_rg5_init0.1/L4_bd4_seed42_rf0.3_bondmpo1 | already completed successfully (val_quality=0.6910385272451844) val=0.6910
